FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ABW,Aruba,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,2.3,2.33,2.46,2.67,2.87,3.05,3.22,3.37,3.51,3.65,3.79,3.95,4.14,4.32,4.5,4.5,4.5,4.5,4.5,4.51,4.51,4.51,4.51,4.0,3.78,4.36,4.37,4.41,3.65,3.77,4.26,4.57,4.45,4.16
A,Annual,AGO,Angola,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.01,0.01,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,Annual,AIA,Anguilla,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,2.75,2.65,2.57,2.5,2.44,2.37,2.31,2.25,2.19,2.13,2.0,2.01,2.04,2.07,2.18,2.48,2.95,3.84,4.5,4.52,4.54,4.56,4.58,4.6,4.62,4.64,4.6,4.57,4.48,4.45,4.44,4.55,4.65,4.57
A,Annual,ALB,Albania,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.04,0.04,0.04,0.04,0.06,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.2,0.2,0.12,0.15,0.16,0.19,0.2,0.21,0.15,0.26,0.14,0.15,0.1,0.11
A,Annual,AND,Andorra,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.27,0.25,0.23,0.22,0.22,0.2,0.19,0.22,0.24,0.23,0.28,0.27,0.28,0.17,0.16,0.16,0.18,0.18,0.18,0.16,0.16,0.17,0.18,0.23,0.21,0.23,0.19,0.19,0.18,0.19,0.21,0.22,0.21,0.2
A,Annual,ANT,Netherlands Antilles,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.8,0.82,0.84,0.88,0.9,0.92,0.95,0.97,1.0,1.02,1.05,1.07,1.07,1.09,1.13,1.1,1.01,0.93,0.92,0.94,0.93,,,,,,,,,,,,,
A,Annual,ARG,Argentina,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.8,0.79,0.78,0.77,0.87,1.08,1.54,2.16,1.72,1.99,2.26,2.53,2.79,3.04,3.29,3.54,3.77,4.67,4.04,3.43,3.6,3.77,3.93,4.09,4.25,4.4,4.55,4.43,3.87,3.87,3.87,3.87,3.87,3.87
A,Annual,ARM,Armenia,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,,,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.07,0.07,0.08,0.08,0.07,0.07,0.1,0.11,0.12,0.14,0.15,0.17,0.18,0.2,0.21,0.18,0.22,0.32,0.31,0.34
A,Annual,ATG,Antigua and Barbuda,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,4.59,4.57,4.49,4.41,4.33,4.24,4.16,4.07,4.0,3.61,3.47,3.58,4.23,4.25,4.27,4.29,4.31,3.57,3.85,4.51,4.01,3.48,2.97,2.46,1.97,1.97,2.0,2.02,2.2,2.4,2.72,2.72,2.66,2.45
A,Annual,AUS,Australia,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,1.04,1.03,1.27,1.35,1.18,1.41,1.7,1.84,1.99,1.81,1.75,1.69,1.36,1.64,1.81,1.69,1.74,1.55,2.01,1.75,1.9,2.12,2.13,1.94,2.11,2.13,2.61,2.41,3.19,3.94,3.94,3.94,3.94,3.94
A,Annual,AUT,Austria,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,0.55,0.58,0.5,0.5,0.46,0.43,0.45,0.46,0.42,0.43,0.44,0.39,0.38,0.42,0.4,0.41,0.41,0.43,0.51,0.42,0.44,0.41,0.42,0.37,0.39,0.44,0.5,0.53,0.6,0.56,0.62,0.65,0.67,0.58
A,Annual,AZE,Azerbaijan,FAO_RP_5172,Pesticides Use per capita,KM_PS,Kilometers per person,FAO_RP,Pesticides Use,0,Units,A,Normal value,PU,Public,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05
